#
# NOTES:
# Roederer 14 have some new abundances I haven't included
#
#Ref  Star  [Fe/H]  [Mg/Fe]  [Eu/Fe]
9 HD200560   0.06    -0.03    -0.09
9 HD202108   -0.21    0.06    0.15
9 HD202575   -0.03    -0.07    0.10
9 HD203235   0.05    0.10    -0.01
9 HD205702   0.01    0.10    -0.02
9 HD208038   -0.08    -0.04    0.10
9 HD208313   -0.05    0.10    -0.03
9 HD208906   -0.80    0.23    0.34
9 HD210667   0.15    -0.10    -0.01
9 HD210752   -0.53    0.07    0.37
9 HD214683   -0.46    0.02    0.28
9 HD216259   -0.55    0.32    0.22
9 HD216520   -0.17    0.09    0.09
9 HD217014   0.14    0.06    -0.05
9 HD217813   0.03    -0.01    -0.01
9 HD218868   0.25    -0.10    -0.03
9 HD219538   -0.09    0.03    0.06
9 HD219623   0.04    -0.05    0.13
9 HD220140   -0.03    -0.18    0.00
9 HD220182   -0.03    0.05    0.10
9 HD220221   0.16    -0.08    -0.09
9 HD221851   -0.09    0.10    0.11
9 HD222143   0.09    -0.03    -0.02
9 HD224465   0.08    -0.05    0.04
9 HD263175   -0.16    0.02    0.23
9 BDp012063   -0.22    0.00    0.05
9 BDp124499   0.00    -0.12    0.24
9 HD013403   -0.31    0.10    0.15
9 HD019308   0.08    0.00    -0.04
9 HD023050   -0.36    0.21    0.25
9 HD030562   0.18    0.03    0.02
9 HD064606   -0.91    0.37    0.40
9 HD068017   -0.42    0.31    0.26
9 HD081809   -0.28    0.16    0.17
9 HD139323   0.19    0.05    0.10
9 HD139341   0.21    -0.02    0.13
9 HD144579   -0.70    0.37    0.24
9 HD159222   0.06    0.00    -0.07
9 HD159909   0.06    0.06    0.03
9 HD215704   0.07    0.04    0.02
9 HD218209   -0.43    0.19    0.27
9 HD221354   -0.06    0.31    0.08
9 HD004635   0.07    -0.02    0.00
9 HD010145   -0.01    0.13    0.15
9 HD012051   0.24    -0.09    -0.07
9 HD013974   -0.49    0.17    0.01
9 HD017660   0.17    -0.19    0.15
9 HD020165   -0.08    0.09    0.00
9 HD024206   -0.08    0.05    0.07
9 HD032147   0.13    -0.06    0.06
9 HD045067   -0.02    0.04    -0.04
9 HD084035   0.25    -0.22    -0.08
9 HD086728   0.22    -0.11    -0.10
9 HD117176   -0.03    0.07    0.07
9 HD117635   -0.46    0.21    0.30
9 HD154931   -0.10    0.14    -0.01
9 HD159482   -0.89    0.37    0.35
9 HD168009   -0.01    0.03    0.05
9 HD173701   0.18    0.00    -0.14
9 HD184499   -0.64    0.37    0.37
9 HD184768   -0.07    0.15    0.11
9 HD186104   0.05    0.06    0.09
9 HD219134   0.05    0.04    -0.11
10 HIP171   -1.00    0.55    0.34
10 HIP3086   -0.17    0.23    0.20
10 HIP5336   -0.98    0.47    0.51
10 HIP5445   -1.58    0.26    0.65
10 HIP5458   -1.04    0.45    0.56
10 HIP6710   -1.83    0.54    0.41
10 HIP11349   -0.29    0.21    0.30
10 HIP12306   -0.63    0.31    0.11
10 HIP13366   -0.77    0.36    0.28
10 HIP14086   -0.71    0.43    0.39
10 HIP15394   -0.30    0.23    0.03
10 HIP16214   -1.74    0.61    0.51
10 HIP18235   -0.72    0.38    0.34
10 HIP18995   -1.26    0.58    0.39
10 HIP19378   -1.73    0.45    0.03
10 HIP21767   -0.44    0.31    0.28
10 HIP22246   -0.38    0.41    0.57
10 HIP31639   -0.62    0.35    0.23
10 HIP34146   -0.40    0.10    0.15
10 HIP34548   -0.46    0.09    0.35
10 HIP36491   -0.93    0.35    0.31
10 HIP37335   -1.26    0.63    0.38
10 HIP38541   -1.79    0.29    0.06
10 HIP38625   -0.86    0.34    0.29
10 HIP40068   -2.05    -0.08    -1.04
10 HIP44116   -0.58    0.17    -0.04
10 HIP47640   -0.08    -0.02    0.01
10 HIP48146   -0.05    -0.08    0.20
10 HIP50139   -0.68    0.32    0.46
10 HIP53070   -1.55    0.53    0.33
10 HIP57265   -1.10    0.19    0.48
10 HIP57939   -1.46    0.29    0.72
10 HIP58229   -0.94    0.18    0.32
10 HIP59750   -0.78    0.39    0.21
10 HIP62747   -1.54    0.56    0.26
10 HIP62882   -1.26    0.50    0.27
10 HIP63970   -0.09    0.00    -0.06
10 HIP64115   -0.74    0.47    0.39
10 HIP64426   -0.82    0.43    0.26
10 HIP65268   -0.67    0.16    0.27
10 HIP66246   -1.91    0.44    0.54
10 HIP66509   -0.68    0.36    0.25
10 HIP66665   -0.97    0.49    0.08
10 HIP66815   -0.64    0.14    0.22
10 HIP68796   -0.52    0.09    0.20
10 HIP68807   -1.83    0.49    0.40
10 HIP71886   -0.40    0.12    0.28
10 HIP71887   -0.49    0.07    0.11
10 HIP71939   -0.37    0.10    0.16
10 HIP73960   -1.37    0.27    0.69
10 HIP74033   -0.78    0.34    0.30
10 HIP74067   -0.90    0.38    0.50
10 HIP74079   -0.83    0.34    0.31
10 HIP74234   -1.51    0.06    0.40
10 HIP74235   -1.57    0.07    0.30
10 HIP77946   -0.97    0.55    0.24
10 HIP78640   -1.48    0.41    0.44
10 HIP80837   -0.83    0.40    0.31
10 HIP81170   -1.26    0.41    0.50
10 HIP81461   -0.65    0.47    0.55
10 HIP85007   -0.50    0.13    -0.04
10 HIP85378   -0.64    0.43    0.44
10 HIP85757   -0.76    0.45    0.27
10 HIP86013   -0.82    0.39    0.37
10 HIP86431   -0.64    0.33    0.22
10 HIP88039   -0.96    0.42    0.42
10 HIP91058   -0.54    0.21    0.07
10 HIP92167   -1.47    0.35    0.48
10 HIP92532   -0.56    0.21    0.16
10 HIP92781   -0.75    0.37    0.37
10 HIP94449   -1.26    0.48    0.47
10 HIP96185   -0.58    0.38    0.29
10 HIP97023   -0.48    0.23    0.10
10 HIP97468   -1.71    0.57    0.27
10 HIP98532   -1.23    0.50    0.06
10 HIP99938   -0.74    0.44    0.41
10 HIP100568   -1.17    0.18    0.67
10 HIP101346   -0.65    0.20    0.09
10 HIP101382   -0.66    0.44    0.29
10 HIP104659   -1.12    0.38    0.24
10 HIP106947   -0.64    0.40    0.63
10 HIP109390   -1.34    0.50    0.39
10 HIP112796   -2.25    0.35    0.53
10 HIP115610   -0.63    0.50    0.42
10 HIP115949   -2.19    0.46    0.62
10 HIP38657   -0.63    0.24    0.40
10 HIP43393   -0.59    0.37    0.34
10 HIP103812   -0.56    0.27    0.25
10 HIP21921   -0.42    0.36    0.42
10 HIP2463   -2.51    0.51    0.12
10 HIP4343   -2.41    0.56    0.52
10 HIP4933   -2.58    0.44    0.68
10 HIP10497   -2.65    0.32    -0.09
10 HIP94196   -2.06    0.55    0.37
10 HIP97192   -2.58    0.63    0.48
10 CS22783055   -2.88    0.40    -0.12
10 CS22896154   -2.73    0.50    0.97
10 CS22898027   -2.35    0.09    2.04
10 CS22947187   -2.49    0.52    0.73
10 CS22953003   -2.82    0.27    0.72
10 HR33   -0.38    0.15    0.12
10 HR35   -0.10    -0.05    0.02
10 HR107   -0.37    0.20    0.15
10 HR140   0.05    -0.01    -0.16
10 HR235   -0.15    0.07    0.04
10 HR366   -0.32    0.08    0.15
10 HR368   -0.24    0.09    0.18
